price,artist,source_artwork
94.69756317138672,Alphonse Maria Mucha,6th Sokol Festival. 1912
55789.62109375,Childe Hassam,"A Back Road, c.1880s"
128013.078125,John Singer Sargent,A Backwater at Calcot Near Reading
1587.4927978515625,Louis de Caullery,A Ball During the Reign of Henri IV
42704.91796875,Louis de Caullery,A Banquet Scene
1400.4559326171875,Jean-Baptiste-Simeon Chardin,A Basket Of Peaches
226516.078125,Sir Lawrence Alma-Tadema,A Bath (An Antique Custom)
3931.537353515625,Lord Frederick Leighton,A Bather I
211938.109375,George Stubbs,"A Bay Thoroughbred in a Landscape, 1801"
8325.9140625,Joseph Mallord William Turner,"A Beech Wood with Gypsies seated in the Distance, c.1799-1801"
142059.359375,Harry Hamilton Johnston,A Berber of Southern Tunis
203631.96875,George Inness,A Bit Of Roman Aqueduct
27936.35546875,John Constable,A Boat Passing a Lock 2
23164420.0,Blanche Odin,"A Bowl Of Flowers Including Apple Blossom, Lilac And Peonies"
105369.3984375,Pierre Auguste Renoir,A Bowlful Of Roses
1365350.375,Pierre Auguste Renoir,A Box In The Theater Des Varietes
1050.5738525390625,Frederic Remington,A Breed
3160503.25,Peter Monamy,A British Man-Of-War And Other Shipping In A Calm
78708.5546875,Frederic Remington,A Brush With The Redskins
3181174.75,Edouard Manet,A Bunch Of Asparagus
53205.54296875,Charles Henri Leickert,A Busy Canal Scene In A Dutch Town
3867.931640625,Edouard Manet,A Cafe Interior 1869
23496.25,Arthur von Ferraris,"A Captive Audience, Cairo"
37749.796875,Alfred Sisley,A Cardiff Shipping Lane
2948.643310546875,Paul Sandby,"A Carriage and Pair, with Coachman"
376967.5,Claude Oscar Monet,A Cart On The Snow Covered Road With Saint Simeon Farm
123434.6171875,John Frederick Herring Snr,A Carthorse eating hay from a wheel-barrow in a farmyard
25426.568359375,Frederic Edwin Church,"A Catskill Landscape, c.1858-60"
4663176.5,Annibale Carracci,A Cherub Carrying Flowers (2)
3931.537353515625,Annibale Carracci,A Cherub Carrying Flowers
3931.537353515625,William-Adolphe Bouguereau,A Childhood Idyll
2119014.5,William Hogarth,A Childrens Tea Party
21550.1484375,Horatio Henry Couldery,A Chop for One
26990.349609375,William Henry Hunt,A Circassian Lady
45061.0078125,John William Godward,A Classical Beauty I
16904448.0,John William Godward,A Classical Lady
976.1190185546876,John Frederick Herring Snr,"A Clydesdale Stallion, 1820"
2150.196533203125,Frederic Edwin Church,"A Coast Line in Jamaica, West Indies"
2709410.5,Sir Lawrence Alma-Tadema,A Coign Of Vantage 1895
2636.11083984375,Wilhelm Kuhnert,A Common Waterbuck
25869.673828125,John Frederick Herring Snr,A Corner of a Farmyard with a Boy Sitting on a Grey Horse and a Goat eating nearby
54259.2265625,Claude Oscar Monet,A Corner of the Studio 1861
23085.5859375,Alfred Sisley,"A Corner of the Woods at Sablons, 1883"
27634.4921875,John Constable,"A Cottage in a Cornfield, 1817"
13849.482421875,John Constable,A Country road with trees and figures
1442466.0,Fernando Botero,A Couple 1999
174880.53125,August Macke,A Couple In The Forest
88880.078125,Fernando Botero,A Couple
8704.98046875,Jean-Baptiste-Camille Corot,A Cow Grazing beneath a Birch Tree
26755.341796875,Frederic Remington,A Cracker cowboy
379618.0625,Platt Powell Ryder,A Cree Indian
3931.537353515625,Arthur Rackham,A Crowned Merman
938529.4375,Sir Lawrence Alma-Tadema,A Declaration
96782.4296875,Thomas Moran,A Deer in a Mountain Landscape
,Vincent Van Gogh,A Digger
41134204.0,John Frederick Herring Snr,"A Doe Rabbit and her two young, 1852"
62231.0,John Linnell,A Dusty Road 1868
31621.009765625,John William Godward,A Fair Reflection
15724.306640625,Arthur Rackham,"A Fairy Song, from A Midsummer Nights Dream, 1908"
1190833.25,Fernando Botero,A Family I
163858.84375,Fernando Botero,A Family II
2049.15869140625,Camille Pissarro,"A Farm at Montfoucault- Effect of Snow, 1876"
14798332.0,Claude Oscar Monet,A Farmyard In Normandy
3931.537353515625,Marianne Preindelsberger Stokes,A Faun Feeding a Squirrel
54592.8203125,Sir Lawrence Alma-Tadema,"A Favorite Custom, 1909"
156600.078125,Alfred Sisley,A February Morning at Moret-sur-Loing
443897.625,Gustav Klimt,A Field of Poppies
19576.3828125,Joseph Mallord William Turner,A First Rate Taking In Stores
514474.75,Winslow Homer,A Fish Story
29213.796875,Joseph Farquharson,A Flock Of Sheep In A Snowstorm
62251.77734375,John William Godward,A Flower Seller
11586.8583984375,Peter Paul Rubens,A Forest at Dawn with Deer Hunt
10809193.0,Franz Xavier Winterhalter,A Full-Length Portrait Of H.R.H Princess Marie-Clementine Of Orleans
566567.0,Melchior de Hondecoeter,"A Game Still Life With A Hung Hare, A Pheasant, A Horn, A Musket Barrel And Other Objects In A Classical Niche"
43299.30859375,Jean-Baptiste-Simeon Chardin,"A Game of Billiards, c.1720-26"
673469568.0,Charles Robert Leslie,A Garden Scene with a boy the artists son George Dunlop Leslie
18338.34765625,John Singer Sargent,A Garden in Corfu
382638.875,Winslow Homer,A Garden in Nassau
116183.34375,Eustache Le Sueur,A Gathering of Friends 1640-42
19610.31640625,Albert Edelfelt,A Girl Knitting Socks
1496.0849609375,Jean-Baptiste-Camille Corot,A Girl Reading
3199.534912109375,Rembrandt Van Rijn,A Girl at a Window
8589.078125,Winslow Homer,A Girl in a Punt
71513.390625,Joan Eardley,A Glasgow Boy
46515.39453125,Martin Johnson Heade,A Glass Of Roses On Gold Cloth
187723.21875,Winslow Homer,A Good One
61648.86328125,Winslow Homer,"A Good Shot, Adirondacks"
483641.84375,Thomas Ralph Spence,A Greek Festival
3931.537353515625,Sir Lawrence Alma-Tadema,A Greek Woman
720885.375,Vincent Van Gogh,A Group of Cottages
35808.33984375,William (Turner of Oxford) Turner,A Gypsy Camp
51821.4921875,Sir Lawrence Alma-Tadema,A Harvest Festival
299870080.0,English Provincial School,A Hatchment comprising a Coat of Arms with the motto IN COELO QUIES supported by three Seraphim
46022.95703125,(after) Hieronymus Bosch,A Hell scene with a fish-monster with a wheel in its mounth
11555.177734375,Wilhelm Kuhnert,A Herd Of Elephants By Moonlight
10895.1904296875,George Stubbs,"A Horse Affrighted by a Lion, engraved by the artist"
1351676.875,August Macke,A House
10035.2451171875,Robert Frederick Blum,A Japanese Woman
19383.9375,English Provincial School,A King Charles Spaniel 2
14446.9755859375,Mary Cassatt,A Kiss For Baby Anne
29590.083984375,Jan Vermeer Van Delft,A Lady Drinking and a Gentleman c. 1658
3039484.25,Carl Larsson,A Lady Reading a Newspaper
1018067.6875,Jan Vermeer Van Delft,A Lady at the Virginals with a Gentleman 1662-65
792564.9375,John Singer Sargent,"A Landscape Study at San Vigilio, Lake of Garda"
13992.5439453125,Thomas Moran,A Late Afternoon In Summer
18813.53515625,Joseph Mallord William Turner,"A Lime Kiln at Coalbrookdale, c.1797"
3702180.75,Rosa Bonheur,A Limier Briquet Hound
3931.537353515625,George Stubbs,"A Lion Attacking A Horse, c.1765"
4689176.0,George Stubbs,"A Lion Attacking a Horse, c.1762"
206145.3125,Wilhelm Kuhnert,A Lioness and Her Cubs
4187.275390625,William-Adolphe Bouguereau,A Little Shepherdess 1891
17529.4375,Ivan Konstantinovich Aivazovsky,A Lunar night on Capri
1775033.5,Francisco De Goya y Lucientes,A Lunatic behind Bars
687.7781372070312,Eugene Delacroix,A Mad Woman 1822
13219088384.0,Martin Johnson Heade,A Magnolia On Red Velvet
56697.4296875,Peter Monamy,A Man-o-War in a Swell and a Sailing Boat
60527.6015625,John Singer Sargent,"A Marble fountain at Aranjuez, Spain"
33535.71484375,Charles Henri Leickert,A Market Scene In A Wintry Dutch Town
92016.4609375,Vincent Van Gogh,A Marsh
90750.1953125,Edouard Manet,A Matador
66724.140625,Claude Oscar Monet,A Meadow
62375.265625,William Hogarth,A Midnight Modern Conversation from The Works of William Hogarth
30916406.0,Sir Joseph Noel Paton,A Midsummer Nights Dream
6680.7265625,Jean-Francois Millet,"A Milkmaid, c.1853"
25433.09375,Thomas Moran,A Miracle Of Nature
186489.703125,Frederic Remington,A Misdeal
1549851.5,Paul Cezanne,A Modern Olympia (Pasha
3931.537353515625,Paul Cezanne,A Modern Olympia
308462.84375,Jean-Victor Schnetz,A Monk Helping a Pilgrim
3265549.5,David The Younger Teniers,A Monkey Encampment
12847.86328125,Paul Sandby,A Moonlight Effect
49970.3515625,Ivan Konstantinovich Aivazovsky,A Moonlit View of the Bosphorus
756.7891235351562,George Wesley Bellows,A Morning Snow
110868.9453125,John Singer Sargent,A Morning Walk
100055.5859375,John Singer Sargent,"A Mosque, Cairo, 1891"
17856.568359375,Frederic Remington,A Mountain Lion Hunting
1013.1154174804688,William Henry Hunt,A Mulatto Boy
1602581.875,William Hogarth,A Musical Party the Mathias Family
266617.71875,Peter Monamy,A Naval Engagement
327274.96875,Lord Frederick Leighton,A Noble Lady of Venice
58222.81640625,Alfred Sisley,A Normandy Farm
54601.875,Angelica Kauffmann,A Nymph drawing her Bow on a Youth
291397.125,Frederic Remington,A Pack Train
1867441.125,Vincent Van Gogh,A Pair of Shoes
30050.1875,Louis de Caullery,A Palace Garden With Elegant Couples Dancing
5786.03369140625,Melchior de Hondecoeter,A Park with Swan and Other Birds
74115.0703125,George Inness,A Passing Shower
33888908.0,Thomas Moran,A Pastoral Landscape
274778.53125,Alfred Sisley,A Path in Louveciennes
92602.3203125,Camille Pissarro,"A Path in the Woods, Pontoise"
15205.7333984375,Vincent Van Gogh,A Path through a Ravine
142736.1875,Melchior de Hondecoeter,A Peacock a Hawk and Various Fowl and Ducks in a Park
607858.5625,Melchior de Hondecoeter,A Peacock on a Decorative Urn
1891872.0,David The Younger Teniers,"A Peasant Wedding, 1648"
1084.3848876953125,Jean-Honore Fragonard,A Philosopher
75209920.0,Francisco De Goya y Lucientes,A Pilgrimage to San Isidro (detail 1)
1499893.0,Henriette Ronner-Knip,A Playful Kitten
3199.67822265625,John William Godward,A Pompeian Garden
5013.96044921875,(after) Harmenszoon Van Rijn Rembrandt,A Portrait Of A Bearded Man Reading
27182.068359375,(after) Pietro Antonio Rotari,"A Portrait Of A Noblewoman, Three-Quarter Length, Wearing A Red Dress With Lace Sleeves And Collar"
43510.7890625,(after) Harmenszoon Van Rijn Rembrandt,"A Portrait Of An Old Man, Bust Length, Wearing A Fur-Lined Coat And A Black Kolpak"
279614.25,Wilhelm Kuhnert,A Preying Lion
717512.25,John William Godward,A Priestess
69330.8671875,Henriette Ronner-Knip,A Proud Mother
403267712.0,Collier Twentyman Smithers,A Race with Mermaids and Tritons
51856.0,Ulpiano Checa y Sanz,A Rainy Day In Paris
210379.640625,Winslow Homer,A Rainy Day in Camp (or Camp near Yorktown)
92270.0703125,Ulpiano Checa y Sanz,A Rainy Day
1180241.625,William Hogarth,A Rakes Progress III The Rake at the Rose Tavern
1072165.375,Sir Lawrence Alma-Tadema,A Reading from Homer
